,Company Name,Comapany Website,Address,Contact,Phone No.
20,ACETAIA GIUSEPPE CREMONINI S.R.L.,www.acetaiacremonini.com,Via Foschiero 1142 41057 Spilamberto Italy,"Marco Pilenga, Sales DirectorSales Director",+39 059 7474030
21,ACETAIA MARCHI SRL,www.acetaiamarchi.com,"Strada Fossa Monda Nord, 126 41122 Modena Italy","Nicola Santangelo, Sales ManagerSales Manager",+39 3486432709
22,ACETAIA TERRA DEL TUONO,www.terradeltuono.it,Via Paolo Monzani N. 5 42122 Reggio Emilia (Loc. Corticella) Italy,"Alberto Zini, Sales ManagerSales ManagerRoberto Zini, Sales ManagerSales Manager",+39 0522 343317
23,ACETIFICIO ANDREA MILANO S.R.L.,www.acetomilano.it,Corso Protopisani 91 80146 Napoli Italy,"Camilla Nobler, Export ManagerExport ManagerAna Campos, Export ManagerExport Manager",+39 3398476391
24,ACETIFICIO BRIVIO S.R.L.,www.acetificiobrivio.com,Via Annunciata 4 23807 Merate Italy,"Alessandro Carozzi, OwnerOwnerAlessandro Maradini, Export ManagerExport Manager",
25,ACETIFICIO CARANDINI EMILIO SPA,www.carandini.it,Via per Formigine 54/A 41051 Castelnuovo Rangone (MO) Italy,"Stefano Bellei, Chief Executive OfficerChief Executive OfficerChiara Arseni, Marketing DepartmentMarketing Department",+39 059 535320
26,ACETIFICIO MARCELLO DE NIGRIS SRL,www.denigris.it,Via Badagnano 1 80021 Afragola (NA) Italy,"Raffaele De Nigris, AdministratorAdministratorCiro Cimmino, Export ManagerExport Manager",+39 081 8808911
27,ACETIFICIO VARVELLO SRL,www.acetovarvello.com,Strada Nizza 39 10040 La Loggia (TO) Italy,"Marco Varvello, Sales ManagerSales ManagerDavide Varvello, Export ManagerExport Manager",+39 011 9628131
28,ACETUM SPA,www.acetum.it,Via Sandro Pertini 440 41032 Cavezzo (MO) Italy,"Federica Solera, Marketing ManagerMarketing ManagerLisa Mai, MarketingMarketing",+39 0535 410811
29,ACORUS CALAMUS JSC,www.acorus.lt,Adutiskio Str. 3/4 18110 Svencionys Lithuania,"Donatas Kiausas, Head of Export DepartmentHead of Export DepartmentJulija Ponomariova, Export ManagerExport Manager",+370 61005993
30,ADAMJEE LUKMANJEE & SONS (PVT) LTD.,www.adamjeelukmaǌee.com,"140/5, Grandpass Road 01400 Colombo Sri Lanka","Minosh Dewapura, Manager Business DevelopmentManager Business Development",+94 777 340 798
31,ADANIM TEA COMPANY (1991) LTD.,www.adanim-tea.com,1 Hagavish St. Nof Hagalil 1788017 3600700 Beit Lehem Hagelilit Israel,"Ariel Alon, Chief Executive OfficerChief Executive OfficerRoy Alob, Business ManagerBusiness Manager",+972 523328701
32,ADM,www.wildflavors.com,Rudolf-Wild-Strasse 107-115 69214 Eppelheim/Heidelberg Germany,"Frank Altrock, General Manager WFSI and ADM NutritionGeneral Manager WFSI and ADM NutritionJochen Heininger, Vice President Market Segment MarketingVice President Market Segment Marketing",+49 6221 7990
33,ADNAN KHUDARI & SONS TRADING CO.,www.khudari.com,"14 Arqam St, Nazzal 11623 Amman Jordan","Adnan Al Khudari, Business Development DirectorBusiness Development DirectorAhmad Al Khudari, Chief Executive OfficerChief Executive Officer",+962 795922552
34,ADOS COSMETICS,www.ados.pl,Bodycha 93 05-820 Reguly near Warsaw Poland,"Magdalena Sulima, Export ManagerExport ManagerAdam Osuchowski, PresidentPresident",+48 22 723 63 22
35,ADWIN KOREA CORPORATION,www.adwin.co.kr,"Adwin Bldg., 22 Yeongdong-Daero 71-Gil, Gangnam-Gu 06187 Seoul South Korea","Rachel Kwon, Associate ManagerAssociate ManagerMJ Park, Sales ManagerSales Manager",+82 2 566 6173
36,AEROFA AEROSOL DOLUM SAN. TIC. A.S.,www.aerofa.com.tr,Emekevler Mah. D-100 Karayolu Cad. No:144-A Kartepe 41180 Kocaeli Turkey,"Celal Altuntas, General ManagerGeneral ManagerNesrin Fettahoglu, Export ManagerExport Manager",+90 262 371 3200
37,AEROSOL SERVICE SP. Z O.O.,www.aerosol.pl,Charnowo 36 76-270 Ustka Poland,"Sylwia Gaffke, Chief Executive Officer AssistantChief Executive Officer AssistantDamian Piotrowski, Chief Executive OfficerChief Executive Officer",+48 53 043 0928
38,AEROXON INSECT CONTROL GMBH,www.aeroxon.com,Bahnhofstr. 35 71332 Waiblingen Germany,"Katja Folgmann, Chief Division InsecticidesChief Division InsecticidesDaniela Woditsch, Manager International Sales and MarketingManager International Sales and Marketing",+49 7151 1715 211
39,AF FOODTECH AB,www.steamfried.com,Lavendelv 16 237 37 Bjaerred Sweden,"Anders Fredlund, Chief Executive OfficerChief Executive Officer",+46 707 906 501
40,AFIFIT NAZARETH 1971 BISCUIT MANUFACTURERS LTD,www.hadar-afifit.com,12 Hayezira St. 17672 Nof Hagalil Israel,"Ran Katz, Chief Executive OfficerChief Executive OfficerUriel Marmor, ChairmanChairman",+972 4 657 1257
41,AFRIMEX TRADING,www.afrimex.net,"Av. Neptune, Building Percée Verte, Office B2-4 Jardins De Carthage 1090 Tunis Tunisia","Abdelhamid Nasri, General ManagerGeneral ManagerWalid Tarsim, ChairmanChairman",+216 96615510
42,AGHATI FOR SWEETS & ICE CREAM CO. LTD.,www.aghatisweets.com,"Waqqas Street, Building No. 21 11195 Amman Jordan","Annas Alhomsi, Export DirectorExport Director",+962 6 4894 004
43,AGNONI SRL,www.agnoni.it,C.da Copellaro 1 04010 Cori Italy,"Viviana Agnoni, Export ManagerExport Manager",+39 069678668
44,AGRANELA D.O.O.,www.agranelasrbija.com,Mirka Obradovica bb 14000 Valjevo Serbia,"Aleksandar Tomic, OwnerOwnerAleksandra Mihajlovic, ManagerManager",+381 11 3973 599
45,AGRARFROST GMBH & CO. KG,www.agrarfrost.de,Aldrup 3 27793 Wildeshausen Germany,"Lorenz Mestwerdt, Head of International SalesHead of International SalesRüdiger Bunschek, Sales DirectorSales Director",+49 4434 87 233
46,AGRECOL SP. Z O.O.,www.agrecol.pl,Mesznary 2 98-400 Wieruszów Poland,"Jakub Prymas, Export and Import ManagerExport and Import ManagerNatalia Szkudlarek, Junior Export SpecialistJunior Export Specialist",+48 627 832 000
47,AGRICO - DTL SP Z O O,www.agrico.pl,Pawłówek 35 62-800 Kalisz Poland,"Wojciech Andrzejewski, Export ManagerExport ManagerAleksandra Nawrocka, Export ManagerExport Manager",+48 515 200 832
48,AGRICOLAE KFT.,www.agricolae.hu,Vörösmarty U. 1. 4741 Jánkmajtis Hungary,"Csaba Biró, Owner and Managing DirectorOwner and Managing DirectorLászló Jámbor, Foreign Trade and SalesForeign Trade and Sales",+36 704325609
49,AGRICULTURAL MARKETING CENTRE LTD. (AMC),www.amc.hu,Kuny Domokos utca 13-15. 1012 Budapest Hungary,"Alexandra Czakó, Exhibition CoordinatorExhibition CoordinatorPéter Ondré, Chief Executive OfficerChief Executive Officer",+36 1 450 8800
50,AGRISTO NV,www.agristo.com,Waterstraat 40 8531 Harelbeke Belgium,"Jon Heylen, Commercial DirectorCommercial DirectorFilip Wallays, Chief Executive OfficerChief Executive Officer",+32 56 73 50 50
51,AGRITRADE VIETNAM,www.agritrade.com.vn,489 Hoang Quoc Viet Str. Cau Giay Dist. 10000 Hanoi Vietnam,"Thanh Do Vu, Deputy Manager of International ExhibitionsDeputy Manager of International Exhibitions",+84 912010069
52,AGRO.VI.M. S.A.,www.agrovim.gr,6th Klm National Highway Kalamata 24100 Kalamata-Messini Greece,"George Xakoustos, Marketing ManagerMarketing ManagerVassia Alexandri, Marketing ExecutiveMarketing Executive",+30 210 642 3614
53,AGRO BLEND GROUP,www.pastadiamond.al,Vore 1010 Tirana Albania,"Bledian Ismaili, Commercial DirectorCommercial DirectorMbaresa Hyska, Marketing ManagerMarketing Manager",+335 684095232
54,AGROLEGUMI S.P.A.,www.agrolegumi.it,Via Pendino 117 84010 San Marzano sul Sarno Italy,"Umberto Vollono, Business DirectorBusiness Director",+39 330442229
55,SCS AGRO'NOVAE DEVELOPPEMENT,www.comtes-de-provence.fr,11 Espace Saint Pierre 04310 Peyruis France,"Nicolas Pasquet, Sales Director EuropeSales Director EuropeDonatien Monod, International DirectorInternational Director",+33 492332300
56,AGROPHOENIX SA,www.agrophoenix.gr,Ano Zervochori 59034 Imathia Greece,"Tasos Saragiotis, Sales ManagerSales ManagerLazaros Ioannidis, Project ManagerProject Manager",+30 2332047430
57,AGROSERC S.A.,www.prunita.com,Polig. Ind la Casilla 03460 Beneixama Spain,"Juan Pablo Salguero, Export ManagerExport Manager",+34 615123375
58,AGRO SEVILLA ACEITUNAS SOC. COOP. AND.,www.agrosevilla.com,"Avda. De La Innovación S/N Edif. Rentasevilla, Planta 8 41020 Sevilla Spain","Siân Enticott, Area ManagerArea ManagerDimas Rizzo, Area ManagerArea Manager",+34 954 251 400
59,AGROVER SRL,www.agrover.it,Via M. Garda 1 13034 Lignana (VC) Italy,"Feliciano Mottino, Managing DirectorManaging DirectorRoberto Mottino, Chief Executive OfficerChief Executive Officer",+39 0161 344008
60,AGRUCAPERS S.A.,www.agrucapers.com,"Ctra. De Lorca, Km 2.3 30880 Aguilas Spain","Richard Gauthier, Export Area ManagerExport Area Manager",+34 968 410 450
61,AIRLABEL,www.air-label.com,Avenue Mercator 1300 Wavre Belgium,"Maxime Filipson, Chief Certification ManagerChief Certification Manager",+32 496 02 36 20
62,AJ JOHANNING SNACK VERTRIEBS GMBH & CO. KG,www.heimart-chips.de,Wagenfelder Straße 32 49453 Rehden Germany,"Imke Speckmeier, Research and DevelopmentResearch and DevelopmentJens Brussat, Sales ManagerSales Manager",+49 5446 2060 144
63,AKSAN KOZMETIK SAN. VE TIC. A.S.,www.aksankozmetik.com.tr,Deliklikaya Mah. Kisikli Cad. No:23-25A Arnavutköy 34555 Istanbul Turkey,"Zafer Kutanoglu, Chief Executive OfficerChief Executive OfficerServet Gerz, General ManagerGeneral Manager",+90 212 407 0424
64,AKU SP. Z O.O.,www.aku.pl,Ul. Gdanska 33D 83-110 Tczew Poland,"Andrzej Subocz, Vice PresidentVice President",+48 58 5315712
65,"AKVATERA LT, UAB",www.akvatera.eu,Maironio g. 11 44298 Kaunas Lithuania,"Paulius Ausmanas, Head of ExportHead of ExportJustinas Vaiciulis, Business Development ManagerBusiness Development Manager",+370 700 55005
66,ALASKA A/S,www.alaska.dk,Løkkebyvej 12 5953 Tranekaer Denmark,"Michael Damsø, Chief Executive OfficerChief Executive OfficerMichael Sorensen, Commercial DirectorCommercial Director",+45 477 22010
67,ALBAAD,www.albaad.com,M.P. Sde Gat 79858 Massuot Yitzhak Israel,"Brigitte Brockevert, Key Account ManagerKey Account ManagerYoram Cohen, Vice President Sales and MarketingVice President Sales and Marketing",+972 8 860 7222
68,AL BAYADER INTERNATIONAL,www.albayader.com,Industrial Area 15 P.O. Box 27106 Sharjah United Arab Emirates,"Hazem Ahmad, Global Sales Team ManagerGlobal Sales Team Manager",+971 650 95999
69,ALBION PLUS S.R.O.,www.albionplus.cz,Mezilesí 2068 19300 Praha 9 Czech Republic,"Jan Zeleny, DirectorDirectorJan Fabry, DirectorDirector",+420 777 060 504
70,ALCA FOODS LTDA,www.alcafoods.com,"Rodovia BR 153 KM 696 Setor Industrial, Estado de Goias 75515-490 Itumbiara Brazil","Waister Martins, Trade AnalystTrade Analyst",+55 6421034236
71,ALDENTE GMBH,www.aldente-soest.de,Niederbergheimer Str. 11b 59494 Soest Germany,"Ralf Beckmann, Managing DirectorManaging DirectorJörg Risse, Managing DirectorManaging Director",+49 2921 969860
72,ALDINO SRL,www.fazion.com,Via E. Montale 21/23 37052 Casaleone (VR) Italy,"Alberto Biasiolo, Direttore CommercialeDirettore CommercialeAnastasia Evsyukova, SalesSales",+39 0442 332040
73,ALFA SORTI S.R.O.,www.alfasorti.sk,Lieskovská Cesta 6 96001 Zvolen Slovakia,"Peter Vittek, OwnerOwnerKlára Dachová, Business Director for ExportBusiness Director for Export",+421 90 5838158
74,ALFI S.R.L.,www.alfifood.com,Via Artigiani 18/b 30010 Camponogara Italy,"Paolo Fisicaro, Export ManagerExport Manager",
75,ALHADAF INTL CO. FOR IMPORTING & INDUSTRY L.L.C.,www.rz.jo,"Marka, Abu dardaa st. building 33 Amman Jordan","Rami Saheb, PresidentPresidentFalah Hafnawi, Export ManagerExport Manager",+962 6488 7776
76,ALICO SRL,www.alicosrl.com,"Via Barsanti 3 41030 Sorbara di Bomporto, Modena Italy","Stefano Campioli, Sales ManagerSales Manager",+39 059 907317
77,"ALNUT - ALIMENTACIÓN Y NUTRICIÓN FAMILIAR, S.L.U.",www.alnut.com,"Polígono Industrial Ciutat de Carlet, Carrer de Garbí 1. 46240 Carlet, Valencia Spain","Alvaro Robles, Managing Director CommercialManaging Director CommercialOscar Clemares, European Key Account ManagerEuropean Key Account Manager",+34 962 532 730
78,ALIMENTA PRODUZIONI SRL,www.alimentaproduzioni.it,Via del Progresso 4/6 47838 Riccione Italy,"Alessia Morciano, Marketing ManagerMarketing ManagerAlessandro Giammona, Export ManagerExport Manager",+39 0541 729427
79,ALIMENTIAS EMC S.L.,www.alimentias.com,"Calle Velazquez 53, Segundo Izquierda 28001 Madrid Spain","Sabela Capitan Catala, Marketing ManagerMarketing Manager",+34 695457847
80,ALIMENTOS EL GLOBO S.A,www.aegnutricion.cl,Presidente Riesco 5435 Office 1602-B 7550000 Santiago Chile,"Carmen Valdes, Export ManagerExport ManagerYael Serman, Business ManagerBusiness Manager",+56 981321834
81,ALIMENTOS KAMUK INTL. S.A.,www.kamukcr.com,1Km Sur del Campo Ayala y 15 al Oeste 112-7100 Paraiso-Cartago Costa Rica,"Rodrigo Roman, Business DirectorBusiness Director",+506 2574 6203
82,ALIMENTOS SANYGRAN SL,www.sanygran.com,"Polígono Municipal de Tudela, Vial B, 27 31500 Tudela Spain","María Cuairán, Marketing DirectorMarketing DirectorRoselyne Chane, Chief Executive OfficerChief Executive Officer",+34 948488501
83,"ALIMINTER, S.A.",www.aliminter.com,"Av. Rio Segura, 9 30562 Ceuti Spain","Rafael Pons, Commercial DirectorCommercial DirectorManuel Peregrín, Chief Executive OfficerChief Executive Officer",+34 650 961 091
84,ALL FOOD SRL A SOCIO UNICO,www.allfoodsalumi.it,Via Partigiani D'Italia 5 43029 Traversetolo (PR) Italy,"Andrea Bodini, Direttore CommercialeDirettore Commerciale",+39 0521 848628
85,ALLINOX BVBA,www.allinox.be,Stationsstraat 127 8780 Oostrozebeke Belgium,"Bernard Derom, Sales Business ManagerSales Business ManagerBram Lernout, Chief Executive OfficerChief Executive Officer",+32 566 74680
86,ALLISON A/S,www.allison.dk,Hjortkaervej 2 Omme 6740 Bramming Denmark,"Sanne Strandskov, Head of MarketingHead of MarketingAnn Charlotte Hammer, Chief Commercial OfficerChief Commercial Officer",+45 75 19 13 33
87,ALL MARKET EUROPE LTD.,www.vitacoco.com,55 Charterhouse Street EC1M 6HA London United Kingdom,"Alexander Schmelz, Business Development DirectorBusiness Development Director",+49 173 910 2287
88,ALMAR DRINK & FOOD S.R.L.,www.almar.it,"Via Marconi, 8 20042 Pessano Con Bornago (MI) Italy","Cesare Crosti, Chief Executive OfficerChief Executive OfficerAnthea Maria Ursi, Export ManagerExport Manager",+39 3482761320
89,ALMAZARA ADAMUZ SL.,www.azzayt.com,C/ Frigiliana nº 20 29004 Málaga Spain,"Daniel Tapia Garrido, Export ManagerExport ManagerLuca Fabris, Export AssistantExport Assistant",+34 950 026 710
90,ALMME,www.almme.gr,Kouloura Imathias 59100 Veria Greece,"Petros Alagiozidis, General ManagerGeneral ManagerKostas Kasapis, Sales ManagerSales Manager",+30 233 1097700
91,ALPENHAIN KÄSESPEZIALITÄTEN GMBH,www.alpenhain.de,Lehen 24 83539 Pfaffing Germany,"Karl Niedermaier, National Key Account ManagerNational Key Account ManagerRobert Winkelmann, Chief Executive OfficerChief Executive Officer",+49 8039 402 155
92,ALPHA GEFSI,www.alphagefsi.gr,Svoronos Pierias 60100 Katerini Greece,"Giorgos Gerovasileiou, Chief Executive OfficerChief Executive Officer",+30 697 6633064
93,ALPHAITALIA S.P.A.,www.alphaitalia.com,Via Manzoni 172 - 176 26041 Casalmaggiore Italy,"Angelo Brighenti, Managing DirectorManaging Director",+39 037 520 0456
94,ALPHA REPUBLIC GMBH,www.alpharepublic.com,Rooseveltplatz 11/1 1090 Vienna Austria,"Bernhard Kreuzer, Sales ManagerSales ManagerAdel Hafizovic, Chief Strategy OfficerChief Strategy Officer",+43 664 150 7085
95,ALPLA WERKE ALWIN LEHNER GMBH & CO. KG,www.alpla.com,Mockenstrasse 34 6971 Hard Austria,"Mario Peterlin, Multi Plant ManagerMulti Plant ManagerTobias Hämmerle, Senior Marketing ManagerSenior Marketing Manager",+43 557 460 20
96,AL SULTAN AL ALAMIA SWEETS,www.alsultansweets.ae,Damacus Street 87652 Dubai United Arab Emirates,"Samer Khalil, Chief Executive OfficerChief Executive OfficerLinda Daltin, Export ManagerExport Manager",+971 588288328
97,ALTHO,www.brets.fr,"Pa Du Pont De Saint Caradec, Route De Saint Caradec 56920 Saint Gérand France","Pierre-Olivier Neveu, Sales ManagerSales ManagerOlivier Blanchard, Export ManagerExport Manager",+33 2 97 25 96 96
98,ALTUNKAYA INS. NAK. GIDA TIC. A.S.,www.altunkaya.com,4.Organize Sanayi Bölgesi Nolu Cad. No:3 Sehitkamil 27500 Gaziantep Turkey,"Ersan Hocaoglu, Marketing ManagerMarketing ManagerUgur Isıkan, Customer RepresentativeCustomer Representative",+90 342 357 0357
99,ALVA SAS,www.alva-food.com,3 rue des Chevaliers 44400 Rezé France,"Véronique Bariou, Sales ManagerSales ManagerAlexandre Vaillant, SalesSales",+33 6 10 74 84 89
100,ALVENAT SA,www.alvenatproduction.com,"Zoning d'Achêne – Rue Houisse, 15 5590 Achêne Belgium","Michaël Cernetig, Sales ManagerSales Manager",+32 8366 86 00
101,ALVEND,www.alvend.com/en/,Z.A. Les Douets Jaunes 49360 Somloire France,"Céline Cochard, Export Sales & Marketing CoordinatorExport Sales & Marketing CoordinatorNathalie Renaudier, Export ManagerExport Manager",+33 2 41 55 66 65
102,AMALTHIA SA,www.amalthia.com.gr,Kefalovryso 30400 Etoliko Greece,"Vana Zouka, General ManagerGeneral ManagerKostas Zoukas, General ManagerGeneral Manager",+30 26320 22516
103,DOLCIARIA AMBROSIANA S.R.L.,www.dolciariaambrosiana.it,Via Vecchia Marchione 70013 Castellana Grotte Italy,"Giuseppe Pedote, PresidentPresidentRaffaele Martino, Export ManagerExport Manager",+39 080 4952039
104,AMBROSI SPA,www.ambrosi.it,Via Ottorino Ambrosi 1 25014 Castenedolo Italy,"Leonardo Casnico, MarketingMarketing",
105,AMERICAN HYGIENICS CORPORATION,www.amhygienics.com,"Building No. 5, Lane 3129 Shenzhuan Highway Songjiang District 201602 Shanghai China","Karan Anand, International Sales ManagerInternational Sales Manager",+86 13501807265
106,AMERICAN MUFFIN CO. LTD.,www.americanmuffin.com,39 Minerva Road NW10 6HJ London United Kingdom,"Zoeb Bhujwalla, Joint Managing DirectorJoint Managing DirectorJose Mulji, Joint Managing DirectorJoint Managing Director",+44 208 965 1041
107,AMERICAN POPCORN COMPANY LTD.,www.popcornbg.com,1 Dimitar Toshkov Str. 1513 Lokorsko Bulgaria,"Roberta Angelova, Export ManagerExport ManagerKancho Kanev, OwnerOwner",+359 894 599 713
108,AMERPHARMA SP. Z O.O.,www.amerpharma.com,Ul. Makowa 6b 20-442 Lublin Poland,"Szymon Babkiewicz, Sales ManagerSales ManagerDaria Skiba, Business Client Service SupportBusiness Client Service Support",+48 507798979
109,IN'VEST AMIFOOD S.A.,www.amifood.be,Rue de Tilleur 19 4101 Jemeppe sur Meuse Belgium,"Raymond Cacciatore, Managing DirectorManaging DirectorJulien Marmifero, SalesSales",+32 42 338317
110,AMMA ORGANICS SL,www.oskri.com,"Avenida Constitucion 28 45518 Gerindote,Toledo Spain","Fekri Zainoba, Sales ManagerSales Manager",+34 697 442 606
111,AMZ BEES FZE LLC,www.amzbees.com,A-5801-73 - Flamingo Villas 5801 Ajman United Arab Emirates,"Klaidas Siuipys, FounderFounder",+370 69930980
112,ANABTAWI SWEETS,www.anabtawisweets.com,"Amman Jarash Road, Mobus, Mobus Street 550: P.O. BOX 11941 Amman Jordan","Salah Almuhaisen, Export ManagerExport ManagerAbdullah Mami, Export Logistics OfficerExport Logistics Officer",+962 799107555
113,ANDECHSER MOLKEREI SCHEITZ,www.andechser-natur.de,Biomilchstraße 1 82346 Andechs Germany,"Barbara Scheitz, GeschäftsführungGeschäftsführungLudwig Prommersberger, VertriebsleitungVertriebsleitung",+49 8152 379 0
114,ANDRÉ BAZIN SAS,www.philippe-wagner.fr,1 Rue De Sainte-Marie 70300 Breuches France,"Dejan Ugljesic, Directeur ExportDirecteur ExportArnauld Galmiche, Sales ManagerSales Manager",+33 3 84 93 33 00
115,ANDRIANI SPA,www.andrianispa.com,Via Niccoló Copernico Zona PIP 70024 Gravina in Puglia Italy,"Giovanni Zibillo, Export Sales DirectorExport Sales Director",+39 080 3255801
116,ANDROS POLSKA SPÓLKA,www.andros.pl,Lopatki 37A 24-160 Wawolnica Poland,"Virginie Colot, Private Label Marketing ManagerPrivate Label Marketing Manager",+48 81 882 6310
117,"ANGEL CAMACHO ALIMENTACION, S.L.",www.angelcamacho.com,"Avenida del Pilar 6 41530 Morón de la Frontera, Sevilla Spain","Paul J. Kortenoever, Marketing DirectorMarketing DirectorLuis Camacho Perea, Export DirectorExport Director",+34 95 585 47 00
118,D'ANGELO PASTA GMBH,www.dangelo.de,Werner-von-Siemens-Straße 39 66793 Saarwellingen Germany,"Gregor Franz, Chief Marketing OfficerChief Marketing OfficerChiara D'Angelo, Chief Marketing Officer AssistantChief Marketing Officer Assistant",+49 6838 98610
119,"ANHUI BYTECH MEDICAL SUPPLIES CO., LTD.",www.bytech-dt.com,"The North New Economic Development Area Lingbi County 214000 Suzhou City, Anhui Province China","Jessica Kuang, Senior Marketing SupervisorSenior Marketing SupervisorCathy Chen, Marketing SpecialistMarketing Specialist",+86 510 85093588
120,ANIMEX FOODS SP. Z O.O.,www.animex.pl,Chałubińskiego 8 00-613 Warsaw Poland,"Michael Guldin, Sales RepresentativeSales RepresentativeKatarzyna Marzejon, Sales ManagerSales Manager",+48 698 412 653
121,AN KHANG FOODS JSC,www.ankhangfoods.com,"587 Highway 13, Nguyen Trai Quarter Lai Thieu Ward 75206 Thuan An City, Binh Duong Province Vietnam","Dung Thi My Tran, Deputy General DirectorDeputy General DirectorTri Vinh Luu, General ManagerGeneral Manager",+84 0274 3799 706
122,ANTEPSAN KURUYEMIS GIDA SAN. VE TIC. ANONİM STI,www.antepsan.com,5. Organize Sanayi Bolgesi 83524 Nolu Cad No:14 Merkez Sehitkamil 27090 Gaziantep Turkey,"Mehmet Ugur Ozay, Export ManagerExport ManagerMurat Bakir, General ManagerGeneral Manager",+90 342 238 3446
123,ANTICO MOLINO ROSSO S.R.L.,www.molinorosso.com,Via Bovolino 1 37060 Buttapietra (VR) Italy,"Deborah Virgilio, Sales ManagerSales ManagerGaetano Mirandola, Sales ManagerSales Manager",+39 347 0504041
124,APEKA S.R.O,www.bonitas.me,Sobotské námestie 1748/46 05801 Poprad Slovakia,"Peter Podhajecky, Chief Executive OfficerChief Executive Officer",+421 907993883
