,Company Name,Located,Comapany Website,Details
24,AGBV NUTRITION GMBH ,Germany,http://agbv-organic.com/,"Importer and distributor of Certified Organic ingredients in Europe mainly Organic Glycerin, Organic MCT Oil, Organic Castor oil and Organic Fatty Acids. We supply our product to Europe and UK."
25,Agropur Inc ,B110 United States of America,http://www.agropur.com/en-us,"Founded in 1938, Agropur is a top 20 global dairy producer with sales of $5.5 billion. Agropur is the chosen dairy manufacturer of some of the most prominent brands. Explore Ingredients. Browse Locations. Request A Sample."
26,"Ahiflower, Natures Crops International ",C127 United States of America,http://naturescrops.com,"At Natures Crops we grow and process exceptional specialty oilseed crops to create awesomely functional ingredients. Natures Crops is the exclusive producer of Ahiflower® oil, an extraordinary non-GMO plant and natural source of omega 3+6 for general wellness and women's health. Regeneratively grown, the pure oil is fresh, expeller-pressed, traceable and has a clean taste. From soil to oil, Ahiflower provides a sustainable source of balanced omega nutrition and wellness benefits both for people and animals."
27,AIBMR Life Sciences Inc ,N246 United States of America,http://www.aibmr.com,"AIBMR is a scientific and regulatory consulting firm, founded in 1978. AIBMR offers key services specifically tailored to the natural products industry, including toxicology studies, GRAS Independent Conclusions, FDA GRAS & NDI Notifications, label reviews, claims substantiation, FDA & FTC compliance, and manuscript preparation & publication."
28,AINIA ,I230 Spain,https://www.altexco2.com/,"AINIA, reference center in innovation offers personalized answers to the needs of nutraceutical companies, through techniques such as microencapsulation, food biotechnology, microbial fermentation, cellular biosynthesis, cell-based models and in-vitro preclinical studies. We contribute to circular value with our expertise, developing new products and improving their quality and security. ALTEX, AINIA´s industrial plant provides companies supercritical CO2 extraction and purification services, to obtain their own natural extracts, defatted materials and other purified products and ingredients."
29,AIS Nutrition ,K140 France,https://www.aisnutrition.com/,"Our French alliance with its 40 years expertise, creates and manufactures your personalised health & wellness products Made in France by us- Health & beauty supplements- Weight management : vegan meal replacement, high protein snacks, detox soups & smoothies- Sport nutrition: isotonic, energy, recovery drinks, muscle development vegan or milk based.- Healthy diet : active lifestyle nutrition, complete nutrition meal, personalized nutrition for kids & senior, superfruits drinksOur solution is totally integrated from market survey, product ideation, product development & manufacturing, quality and regulatory control, product registration, to delivery, storage, scientific and marketing support.No compromise on quality, food safety, traceability & customer satisfaction with our certifications: ISO22000, GMP, FDA Food, Organic certified, Anti-doping AFNOR NFV94-001, ISO9001, HALAL.Join us to build together now the nutrition of tomorrow, with nutritionally efficient products with great taste!"
30,"Ak & Mn Biofarm Co., Ltd ","Korea, South",http://www.akb.co.kr,AK & MN BioFarm is Omega-3 API Manufacturer. We produce various of Omega-3 products and our facility is approved by Korean FDA and PMDA.Our main API products are Icosapent Ethyl and Omega-3 Acid Ethyl Esters 90.
31,AKAY NATURAL INGREDIENTS PRIVATE LIMITED ,B61 India,http://www.curqfen.net,"25 plus years experienced innovative ingredient manufacturerClinically proven natural ingredients | Standardized botanical extractsBioavailable phytonutrient/ micronutrient formulationsPatented branded ingredients | Peer reviewed publicationsProprietary natural phytonutrient delivery technologyCurQfen - bioavailable free curcumin for brain, liver, heart, joint supportCapsifen - bioavailable capsaicinoids for weight managementBosQfen - bioavailable boswellic acids | Quercifen - bioavailable quercetinResverafen - bioavailable resveratrol | FenuC+ - bioavailable Vitamin CBlaQmax - Patented black cumin extract for sleep, stress & anxietyFenuSMART - Proprietary extract of fenugreek for PMS discomforts and hormonal balance in womenClovinol - Natural clove extract for liver support and reduces alcohol hangoverNature to Nutraceuticals | Farm level traceability – own & contracted organic farmsSales offices and warehouses in USA and EuropeFSSC 22000, ISO 9001, ISO 14001, ISO 17025, BS OHSAS, ISO 45001, GMP, Halal, Kosher"
32,Aker BioMarine Antarctic AS ,H84 Norway,https://www.superbakrill.com/,"Aker BioMarine is a biotech innovator and Antarctic krill-harvesting company, dedicated to improving human and planetary health. The company produces krill-derived health ingredients for the nutraceutical and dietary supplement industry. Superba Krill oil is the company's flagship product is backed by over 45 human clinical trials and 15 years of science showcasing the health effects of the supplement. The company also produces the NKO and KREAL krill oil brands along with INVI protein and LYSOVETA, a pharma grade krill oil product.Superba Krill oil has 4 EU approved health claims for Heart and Liver health with several studies showcasing the role it can play in skin, brain, sports performance and join health.Aker BioMarine harvests krill in the pristine, clean waters of Antarctica, and is one of the worlds most sustainable fisheries, as certified by the Sustainable Fisheries Partnership (SFP), the Marine Stewardship Council (MSC and Friends of the Seas (FOS).Products are available as bulk oil for formulations or a bulk finished capsules of pure krill oil.Listed on Oslo Stock Exchange, the company develops krill-based ingredients for pharmaceutical, nutraceutical (Superba®), aquaculture (QRILL®Aqua), and animal feed applications (QRILL®Pet), including INVI™, ahighly concentrated protein isolate, and LYSOVETA™, a targeted transporter of EPA and DHA from krill. Aker BioMarine’s fully transparent value chain stretches from sustainable krill harvesting in pristine Antarctic waters through its Montevideo logistics hub, Houston production plant, and to customers around the world. The company’s strong focus on sustainabilityinspired the launch of AION by Aker BioMarine, a circularity company dedicated to helping companies to recycle and reuse waste."
33,AlaskOmega AG ,B112 Switzerland,-,-
34,ALCHIMICA s.r.o. ,E29 Czech Republic,https://shop.alchimica.cz/,"We have been distributing fine chemicals as well as pharmaceutical, food, nutraceuticals, cosmetics and animal feed ingredients since 1996. The future is important to us: this is why we offer more than 60,000 substances for scientific, research and development purposes.The high quality of our products and services is appreciated by our numerous clients in the Czech Republic, in other EU countries as well as in the USA. No client is too small for us.We are a traditional, experienced company, friendly to our clients and suppliers. Deeply respectful of laws, nature, and health, we feel responsible for our activities, and look forward with optimism."
35,Alesco S.r.l. ,E30 Italy,http://www.alescosrl.com,"Alesco is a company with registered offices in Pisa that produces and distributes functional ingredients and raw materials of high scientific value for the pharmaceutical, nutraceutical, cosmetics and food industries.We believe that food has a huge impact on who we are, in terms of health, socio-economic and environmental development, and this is why we aim to improve people’s lifestyles, starting from nutrition."
36,Alg Pharma Sp. z o.o. ,O45 Poland,https://algpharma.pl/?lang=en,"We offer reliable knowledge and complex support within the scope of product design, elaboration of recipes, selection of formulations and manufacturing of diet supplements, We continue to expand our offer to provide new product formats. The goal is to give our clients the widest possible offer of private-label production services.We ensure professional execution of orders in compliance with the highest manufacturing standards bases on the ISO 22000 standard and Quality Assurance System compliant with the GMP (Good Manufacturing Practice) principles and requirements of the HACCP system"
37,Algalif Iceland ehf ,G140 Iceland,http://algalif.com,"Astaxanthin oleoresin I Astaxanthin softgels I Astaxanthin beadlets I Finished product I Beta-glucanAlgalif® is a leading supplier of high-grade natural Astaxanthin products from microalgae, including ingredients and finished formulations. Our indoor production process is designed to deliver high yields of premium astaxanthin using pure Icelandic water and renewable energy. Algalif also commercializes a range of immune-health ingredients, branded Nutramunity™ Beta-Glucan (NBG®), for use in food, beverages, nutraceuticals, sports nutrition, and personal care products"
38,Algamo ,A40 Czech Republic,https://www.algamo.cz/,"Manufacturing company Algamo s.r.o. was established in 2011. The company specializes in algae cultivation and subsequent active substances extraction. These active substances are used in the cosmetic industry, pharmaceutical industry and in food supplements production. The production plant is based in the “Krkonoše” mountains foothills in the Czech Republic, approximately 130 km northeast of Prague.The company’s goal is an eco-friendly production of highly-active natural products. We believe that even a tiny contribution to ecology will make a huge profit not only for us but for future generation in particular. The company invests its effort in building a friendly work environment and working conditions and pays a lot of attention to subsequent staff development."
39,ALGOSOURCE ,J130 France,http://www.algosource.com,"AlgoSource is the European pioneer in valuing the immense biological properties of microalgae and Guérande mother liquors for nutraceutical and clinical purposes. Based on 100% natural bioactive extracts, it creates made-to-order food supplements with very high added value. It has a unique clinical trials track record in Europe, including the first clinical trials carried out on humans against placebo.AlgoSource is present throughout the whole value chain: it cultivates its microalgal biomass, extracts the active molecules using a patented cold water-based process, and packages its products in sterile bags (bulk), ampoules or bottles (finished products).Would you like to develop a range of food supplements based on microalgae or Guérande mother liquors?www.algosource.com"
40,"ALGRY QUIMICA, S.L. ",D105 Spain,http://www.algry.com,"Spanish manufacturer of choline derivates, used mainly in infant formula, enteral nutrition, food supplements, sport nutrition and pharmaceuticals.Choline is the missing link of a healthy body. With 3 health claims approved, cholines are used to fortify supplements and is a mandatory ingredient in infant formula"
41,Aliga Microalgae ,H70C Denmark,https://aligaaqtive.com/,"Aliga Microalgae is a Danish based food-tech company specializing in developing, producing and commercializing functional and protein-rich ingredients from Chlorella algae, to be used in food, beverage and dietary supplement applications. The company's Chlorella ingredients are cultivated at the company's facility in Denmark through fermentation to guarantee a stable high quality batch after batch. At Vitafoods the company will introduce its newly developed Chlorella M12 which is a white Chlorella ingredient with a neutral taste and flavour, making it highly applicable as a vegan, plant-based and protein-rich ingredient to be used in a broad variety of food, beverage and dietary supplement formulations. Aliga will also showcase its Danish produced algae dietary supplement product range called Aliga Aqtive, which is based on the algae Chlorella, Bladder Wrack, Schizochytrium and Haematococcus pluvialis and for which the company is seeking agents and whole sellers for. The company's dietary supplement products are also offered in bulk, either as powder or in capsules."
42,Aloe Jaumave Sa De Cv ,H260 Mexico,http://www.aloejaumave.com,"Aloe Jaumave was founded in 1989, and from the beginning the company decided to settle in Jaumave, a small town located in a beautiful valley in the state of Tamaulipas, on the North East of Mexico. This small town was well known for its numerous plantations of Aloe Vera. Back then, the company started with only one main activity - the export of Fresh Aloe Vera Leaves to United States. 28 years later, the company has expanded its activities to growing, harvesting, processing and bottling Aloe Vera (Raw Materials and Finished Products) for the Food, Cosmetic and Pharmaceutical Industry."
43,Alsa lab srl Società Benefit ,H234 Italy,http://www.alsalab.it/en/,"Alsa lab is an Italian contract manufacturing company specialised in the production of food supplements, medical devices and dermocosmetics. We produce more than 700 different references a year thanks to our manufacturing facilities and our 2 manufacturing plants of 6000 square metres each one. We are specialised in several therapeutic areas and we offer different formats such as: drops,tablets,capsules,syrup,tubes,stick pack...Besides manufacturing, we offer services such as Graphic design, Regulatory support, Microbiological tests and R&D. We are a team of young people who constantly work on the innovation and quality of the products and we are fast in terms of logistics."
44,Althae Nutrition ,France,-,-
45,Althae Nutrition Sl ,J138 France,https://store.althae.eu/,"Althae Nutrition is specialized in the development and co-manufacturing of Food and Diet Supplements for other brands.We also offer a large range of products on stock customizable to the brand of our clients, with no minimum order."
46,AlzChem Trostberg GmbH ,C54 Germany,https://www.creapure.com/,"Creapure® is recognized as the premium brand of creatine worldwide. Careful selection of raw materials, manufacturing to GMP regulations, and precise analytical control ensure products of the highest purity.Creapure® is the brand of creatine monohydrate manufactured in Germany by AlzChem Trostberg GmbH. Our plant is located in Trostberg in Bavaria. We make Creapure® in a purpose-built plant that sets the highest standards in terms of quality, purity and safety.Creapure® is an economical form of supplementary creatine. Compared to other types of creatine it has received by far the greatest amount of scientific study and is proven to be both safe and effective.Not all creatine supplements have the same stringent manufacturing standards as Creapure®. With genuine Creapure® from Germany you can be absolutely sure that you are getting the best and the safest product."
47,Amapharm Gmbh ,N54 Germany,http://amapharm.de/,"As a manufacturer of Private Label products, we offer you the ideal opportunity to have high-quality Vitamin Gummy Bears, Jelly Beans and Chews made with your own formulation and layout, selected and tested by an expierienced team of pharmaceuticals."
48,Ambe Phytoextracts Pvt. Ltd ,B119 India,http://www.ambe-group.com,"Ambe Phytoextracts Pvt. Ltd. has been in the business of manufacture and export of a wide range of Clinically Supported Branded Ingredients, standardized botanical extracts, Nutraceuticals, Oleoresin, Fruit & Veg Powders, which find way into countless Healthcare, supplements, Cosmetic and food products across the globe.Our manufacturing factories are FSSC 22000, WHO-GMP, HACCP, KOSHER, HALAL, SEDEX, USFDA, ISO 9001:2015, certified . All products are certified for purity, microbial, heavy metal & pesticide limits. All our products are non-GMO, non-irradiated and comply with major international regulations.Our bespoke range includes:• Standardized Herbal Extracts• Branded Ingredients• Speciality Ingredients• Nutraceuticals & Phytochemicals• Fruit & Vegetable Powders• Natural Colours• Oleoresins"
49,Ambi Pack BV ,Netherlands,-,-
50,AmerPharma Sp. z o.o. ,O240 Poland,https://amerpharma.com/,"AmerPharma is the premier functional food and snack manufacturer in the EU. For over 10 years we have formulated, and manufactured, some of the most innovative functional food, sports nutrition and diet products in the world. These include:- Zero calorie/No Sugar syrups, fruit spreads, sweet spreads, sauces and dressings in over 100 flavours and varieties- Functional confectionary including protein filled, sugar-free and palm oil free chocolate bars, pralines and protein nuts- Flavoured nut butters, low calorie spreads, natural spreads- Sports nutrition beverages in the form of liquids and shots- 100% natural, vegan, diabetic and diet foods, bars and breads- Unique packaging formats including ready to consume pouches equipped with a drinking spout (a premium ‘to go’ format suitable for nut butters, protein spreads, energy gels, zero calorie syrups, guilt free snacks).All of our products are available as ‘finished goods’ delivered to your facility fully packaged, labelled and ready to sell to your customers. To ensure as smooth a process as possible, we have a full design team that can assist any branding issues you have."
51,Aminolabs by Eurofood Belgium NV ,L100 Belgium,https://www.aminolabs.com/en,"As a health nutrition pioneer, Aminolabs has the expertise, the technology and the drive to make you and your customers perform better. With our innovative and customer-oriented approach, we design concepts and products that fit you and help you make a difference in healthy snacking and active nutrition. Let's put you on the right track!"
52,Aminolabs Germany GmbH ,Germany,-,-
53,Aminolabs Group ,Belgium,-,-
54,AMNOL CHIMICA BIOLOGICA SRL ,G170 Italy,http://https://en.amnol.net/,Amnol Chimica Biologica was born in Novara in 1978 and hasbeen present on the pharmaceutical market with an approachof continuous innovation ever since. In 1998 Amnol made aturning point by concentrating its activities in the productionand marketing of pharmaceutical products coming frombiological extracts and dermocosmetics.
55,analyze & realize GmbH ,K119 Germany,http://a-r.com,"Since a&r was founded, our purpose has been to act as your innovation expert in natural health products.Within the consumer health care space, a&r is one of the leading consultancies and clinical research organizations with a strong focus on natural health products. For more than two decades we have been supporting our clients with scientific, regulatory, and clinical expertise.With experience, enthusiasm and strong result orientation we apply our core competences: the compilation of dossiers for market compliance in Europe and the performance of clinical studies according to local and international requirements.We help our customers in the design and implementation of future-oriented innovation strategies in their target markets."
56,"Angel Yeast Co.,ltd. ",United Kingdom,-,-
57,"Anhui Huaheng Biotechnology Co., Ltd ",C151 China,http://www.huahengbio.com/,"Anhui Huaheng Biotechnology Co., Ltd. is a high-tech enterprise with synthetic biotechnology as the core, mainly engaged in the research and development, production and sales of amino acids and their derivatives. The main products include alanine series products (L-alanine, DL-alanine, β-alanine), D-calcium pantothenate and L-Valine, etc."
58,Aniva International SA ,L146 Greece,http://www.aniva-int.com,"ANIVA INTERNATIONAL develops and promotes unique and innovative Nutraceuticals, Medical Food and Dietary Supplements with Clinical Studies and Scientific Evidence, manufactured in EU GMP-approved plants and targeting specific therapeutic areas, such as NEUROLOGY (Multiple Sclerosis, Parkinson), DIABETES, GASTROENTEROLOGY, OPHTHALMOLOGY, GYNECOLOGY, ED."
59,Anklam Extrakt GmbH ,I200 Germany,https://www.delphinol.de/en/,"Anklam Extrakt GmbH stands for top expertise in the development, production and research of high-quality plant extracts. Its extract portfolio includes extracts for both the pharmaceutical and nutraceutical industries. Anklam Extrakt further specialises in the development of maqui berry extract – an innovative, branded ingredient concept supported by scientific research for the nutrition and health industry. UNLIMITED EXTRACT SOLUTIONS. MADE IN GERMANY."
60,ANTI OXIDANT POWER AOP ,L139 France,http://antioxidant-power.com,"Anti Oxidant Power (AOP) provides in vitro cell-based tests and analysis for preclinical research using innovative approaches for assessment of intracellular antioxidant activity. Our patented technologies are based on a photoinduction system that produces Reactive Oxygen Species (ROS) in a controlled manner within the live cells.AOP realizes dose-response studies which can be carried out on any human cell models (enterocytes, hepatocytes, keratinocytes, neuron-like cells, etc) and provides professional experimental reports with efficacy concentrations (EC50, EC10, EC90) and comparison with reference antioxidants of your interest.Enabling a full characterization of cellular antioxidant behaviour of natural extracts, active ingredients, or finished products, AOP can provide several functional assays for assessments of mechanism of action and efficacy concentrations, such as:- AOP 1: intracellular ROS scavenging activity after intracellular ROS generation- AOP 2: activation of the ARE-Nrf2 pathway or gene induction of the endogenous protective cell antioxidant system- AOP 3: cell membrane ROS scavenging activity after extracellular ROS generation- AOP CAT: catalase-like activity or H2O2 degradation"
61,Apollo Ingredients India Private Limited ,C136 India,-,-
62,APOTEC BAY Botanical Extracts ,C154 Egypt,http://www.apotecbay.com,"APOTEC BAY Botanical Solutions, an Egyptian family business engaged in the botanicals field since 1930. Today we’re one of the global manufacturers of functional ingredients, plant-based proteins, botanical extracts, defatted ingredients, natural flavors and natural colors using various extraction methods and cutting edge technologies. Our ingredients organoleptic are very close to the fresh raw materials, free of any residual solvents, free of any microbial counts and free of any heavy metals. We supply our products to major F&B, Nutraceutical and Pharmaceutical companies worldwide. We manufacturer more than 100 species of different plants from different origins around the globe.We serve our partners with their needs of natural and organic ingredients whether in the form of powder or liquid extracts through our state-of-the-art technologies with a dedicated quality control and assurance."
63,Aptar CSP Technologies ,J60 France,https://www.csptechnologies.com/,The premier active material science solutions expert that transforms ideas into market opportunities
64,Aptiekas Produkcija Sia ,L250 Latvia,http://www.aptiekasprodukcija.lv/en/,"Aptiekas Produkcija is the leading Latvian manufacturer of a wide range of quality finished food supplement products for a variety of market segments.Well renowned in Latvia, Aptiekas Produkcija is exporting its products to the other Baltic countries currently commencing an expansion to the EMEA and Asian markets.Our competitive advantage with regards to the finished products is an uncompromised quality yet at a highly effective price expressing itself in a very stimulating policy for distributors.Furthermore, we offer a range of contract manufacturing services to contribute to the growth of your business with your own branded products.Our plant is based in the metropolis of the Baltic States (Riga, Latvia) and purely manufacturing area comprises 1500 m2 (16146 square feet).In our production we utilize highly renowned and advanced equipment from BOSCH, IMA etc. as to assure smooth and flawless manufacturing process and safe and quality output.Uncompromised quality, cost efficiency, flexibility and reliability are the principles we base our business on.We are committed to the synergy of people, nature, technology, and business."
65,Aqia Quimica Inovativa ,Brazil,-,-
66,AQMA ITALIA SPA ,L252 Italy,https://aqma.eu/,"AQMA ITALIA SPA is a pharmaceutical company developing high quality and INNOVATIVE patented products entirely Made in Italy, promoting a new care and WELL-BEING PHILOSOPHY, satisfactory and natural at the same time. Study and accurate selection of active ingredients, production in GMP certified plants and collaboration with Public and private HOSPITALS, UNIVERSITIES, Clinics and high level scientific partnership represent Aqma work together with performing CLINICAL TRIALS on products to confirm their efficacy and safety.Our food supplements are functional nutraceuticals with therapeutic effects. They are resulting from careful internal R&D processes enabling us to offer a new way to improve health, treat chronic diseases, slow down aging process, increase and improve life expectancy, or just support functions and integrity of the body. Our products are healthy sources for improving life."
